country,year,iso_code,population,gdp,cement_co2,co2,co2_including_luc,coal_co2,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_luc_co2,cumulative_oil_co2,land_use_change_co2,oil_co2,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_luc_co2,share_global_oil_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,output_co2_production
Pakistan,2011,PAK,198602736,8.45E+11,11.022,154.651,171.359,17.166,175.68,3381.62,5673.525,446.413,3130.851,1505.423,16.708,60.504,0.817,0.448,0.434,0.116,0.589,0.245,0.274,0.068,0.449,0.309,0.337,0.531,0.667,0.006,0.002,0.009,0.001,3381619700
Pakistan,2012,PAK,202205856,8.84E+11,11.391,154.886,173.645,14.696,187.07,3536.505,5847.17,461.109,3149.611,1569.041,18.76,63.618,0.823,0.442,0.436,0.098,0.6,0.25,0.277,0.069,0.449,0.315,0.389,0.551,0.675,0.006,0.002,0.009,0.001,3536505300
Pakistan,2013,PAK,205337552,9.31E+11,11.962,151.525,162.114,13.659,199.032,3688.03,6009.284,474.769,3160.2,1630.083,10.589,61.042,0.828,0.429,0.406,0.091,0.61,0.255,0.28,0.069,0.447,0.32,0.229,0.525,0.683,0.006,0.003,0.01,0.001,3688030000
Pakistan,2014,PAK,208251632,9.82E+11,12.198,156.529,162.648,18.844,211.23,3844.559,6171.932,493.613,3166.319,1690.506,6.119,60.423,0.813,0.44,0.402,0.125,0.619,0.259,0.282,0.07,0.445,0.324,0.124,0.517,0.691,0.006,0.003,0.01,0.001,3844559000
Pakistan,2015,PAK,210969296,1.04E+12,12.682,166.411,197.005,18.027,223.911,4010.97,6368.937,511.64,3196.913,1760.906,30.594,70.4,0.878,0.468,0.481,0.123,0.629,0.264,0.285,0.071,0.446,0.33,0.568,0.59,0.699,0.007,0.003,0.01,0.001,4010969900
Pakistan,2016,PAK,213524848,1.10E+12,14.128,195.791,223.455,23.955,238.039,4206.761,6592.392,535.594,3224.576,1847.504,27.663,86.597,0.95,0.551,0.558,0.167,0.642,0.271,0.29,0.073,0.447,0.339,0.611,0.72,0.708,0.007,0.003,0.011,0.001,4206761500
Pakistan,2017,PAK,216379648,1.16E+12,14.752,216.158,242.173,40.979,252.791,4422.919,6834.564,576.573,3250.591,1932.957,26.014,85.453,0.978,0.599,0.599,0.282,0.655,0.278,0.296,0.077,0.448,0.347,0.601,0.698,0.718,0.007,0.003,0.011,0.001,4422919700
Pakistan,2018,PAK,219731488,1.21E+12,15.581,205.061,230.599,46.881,268.373,4627.981,7065.164,623.454,3276.129,1999.198,25.538,66.241,0.993,0.557,0.562,0.318,0.669,0.284,0.3,0.082,0.449,0.351,0.611,0.54,0.727,0.007,0.003,0.011,0.001,4627981000
Pakistan,2019,PAK,223293280,,15.437,206.061,231.343,50.307,283.81,4834.042,7296.506,673.761,3301.411,2064.077,25.282,64.878,0.954,0.556,0.556,0.342,0.68,0.29,0.305,0.087,0.449,0.354,0.555,0.526,0.736,0.007,0.003,0.011,0.001,4834042000
Pakistan,2020,PAK,227196736,,17.645,210.384,235.336,57.21,301.455,5044.426,7531.842,730.971,3326.362,2129.728,24.952,65.651,1.078,0.597,0.598,0.404,0.695,0.297,0.309,0.093,0.45,0.359,0.615,0.587,0.746,0.008,0.003,0.012,0.001,5044425700
Pakistan,2021,PAK,231402112,,18.621,229.512,254.061,59.957,320.075,5273.938,7785.904,790.928,3350.911,2204.712,24.549,74.984,1.113,0.618,0.619,0.4,0.71,0.304,0.315,0.098,0.451,0.364,0.623,0.633,0.755,0.008,0.003,0.012,0.001,5273938400
Sri Lanka,1950,LKA,7945979,15043594240,0,1.627,25.956,0.995,0,1.627,25.956,0.995,1229.712,0.632,24.329,0.632,0,0.027,0.227,0.026,0,0.001,0.004,0.001,0.322,0.002,0.448,0.038,0.123,0,0,0,0,1626816
Sri Lanka,1951,LKA,8091463,15983182848,0.033,1.546,24.043,0.641,0.033,3.173,49.999,1.636,1252.209,1.504,22.497,0.872,0.043,0.024,0.201,0.016,0.003,0.001,0.008,0.001,0.323,0.005,0.402,0.05,0.123,0,0,0,0,3172757
Sri Lanka,1952,LKA,8245472,16718630912,0.029,1.938,23.482,1.002,0.062,5.111,73.481,2.638,1273.753,2.411,21.544,0.907,0.036,0.03,0.193,0.025,0.006,0.002,0.012,0.001,0.324,0.008,0.376,0.049,0.124,0,0,0.001,0,5110776
Sri Lanka,1953,LKA,8406914,17044013056,0.033,2.066,24.307,1.033,0.094,7.177,97.788,3.672,1295.993,3.411,22.24,1,0.036,0.031,0.195,0.026,0.008,0.003,0.015,0.002,0.325,0.01,0.381,0.051,0.124,0,0,0.001,0,7177005
Sri Lanka,1954,LKA,8575077,17496870912,0.04,1.784,23.658,0.769,0.134,8.961,121.446,4.441,1317.868,4.386,21.874,0.975,0.041,0.026,0.185,0.019,0.011,0.003,0.018,0.002,0.326,0.013,0.364,0.047,0.125,0,0,0.001,0,8961046
Sri Lanka,1955,LKA,8749630,18526443520,0.036,1.663,25.406,0.508,0.171,10.624,146.852,4.949,1341.61,5.504,23.743,1.119,0.034,0.022,0.186,0.012,0.013,0.004,0.022,0.002,0.327,0.015,0.384,0.048,0.125,0,0,0.001,0,10624205
Sri Lanka,1956,LKA,8931093,18645467136,0.044,1.418,25.783,0.396,0.214,12.042,172.635,5.345,1365.976,6.483,24.366,0.978,0.037,0.018,0.18,0.009,0.015,0.004,0.025,0.002,0.327,0.016,0.381,0.039,0.125,0,0,0.001,0,12041816
Sri Lanka,1957,LKA,9122983,18914553856,0.025,2.319,29.213,0.752,0.24,14.361,201.848,6.097,1392.87,8.024,26.894,1.541,0.021,0.028,0.198,0.016,0.015,0.005,0.029,0.003,0.329,0.019,0.409,0.059,0.126,0,0,0.001,0,14360920
Sri Lanka,1958,LKA,9329673,19470209024,0.04,1.949,29.575,0.472,0.28,16.31,231.423,6.569,1420.496,9.461,27.627,1.437,0.031,0.023,0.195,0.01,0.016,0.006,0.032,0.003,0.33,0.021,0.408,0.053,0.126,0,0,0.001,0,16309842
Sri Lanka,1959,LKA,9551289,19741876224,0.047,2.055,23.746,0.47,0.327,18.365,255.169,7.039,1442.187,10.999,21.691,1.538,0.033,0.023,0.149,0.009,0.018,0.006,0.035,0.003,0.329,0.023,0.305,0.053,0.126,0,0,0.001,0,18364958
Sri Lanka,1960,LKA,9783874,20461441024,0.044,2.257,18.195,0.689,0.371,20.622,273.364,7.728,1458.125,12.523,15.938,1.524,0.028,0.024,0.114,0.013,0.018,0.007,0.037,0.003,0.328,0.024,0.243,0.049,0.126,0,0,0.001,0,20621626
Sri Lanka,1961,LKA,10022896,20890710016,0.04,2.334,15.597,0.374,0.411,22.955,288.962,8.101,1471.389,14.443,13.264,1.92,0.024,0.025,0.1,0.008,0.019,0.007,0.038,0.003,0.327,0.026,0.217,0.058,0.126,0,0,0.001,0,22955268
Sri Lanka,1962,LKA,10267069,21631954944,0.044,2.561,121.018,0.377,0.454,25.516,409.98,8.479,1589.846,16.583,118.457,2.14,0.025,0.026,0.774,0.008,0.019,0.008,0.053,0.003,0.348,0.029,2.01,0.06,0.129,0,0,0.001,0,25516046
Sri Lanka,1963,LKA,10517538,22093111296,0.036,2.532,81.308,0.388,0.491,28.048,491.287,8.867,1668.622,18.69,78.776,2.107,0.02,0.025,0.511,0.008,0.019,0.008,0.062,0.003,0.361,0.03,1.394,0.055,0.131,0,0,0.001,0,28047572
Sri Lanka,1964,LKA,10774088,23134775296,0.036,2.271,65.256,0.469,0.527,30.319,556.543,9.336,1731.606,20.456,62.984,1.766,0.018,0.021,0.4,0.009,0.019,0.009,0.069,0.004,0.37,0.031,1.15,0.043,0.132,0,0,0.001,0,30318956
Sri Lanka,1965,LKA,11035228,23850108928,0.044,2.656,53.293,0.37,0.57,32.975,609.835,9.706,1782.243,22.698,50.636,2.242,0.02,0.023,0.325,0.007,0.019,0.009,0.074,0.004,0.377,0.032,0.999,0.051,0.133,0,0,0.001,0,32975000
Sri Lanka,1966,LKA,11299725,23609036800,0.04,2.66,46.481,0.084,0.61,35.635,656.316,9.791,1826.064,25.234,43.821,2.535,0.017,0.022,0.278,0.002,0.019,0.01,0.078,0.004,0.383,0.034,0.904,0.053,0.134,0,0,0.001,0,35634736
Sri Lanka,1967,LKA,11571012,25750589440,0.094,2.945,47.536,0.37,0.705,38.58,703.852,10.161,1870.655,27.714,44.591,2.481,0.039,0.024,0.277,0.007,0.02,0.01,0.082,0.004,0.388,0.035,0.905,0.049,0.134,0,0,0.001,0,38579820
Sri Lanka,1968,LKA,11846820,27687378944,0.109,3.238,35.005,0.114,0.814,41.818,738.857,10.274,1902.422,30.73,31.767,3.015,0.043,0.025,0.196,0.002,0.022,0.011,0.084,0.004,0.39,0.036,0.638,0.055,0.134,0,0,0.001,0,41817904
Sri Lanka,1969,LKA,12119211,28778194944,0.138,4.315,30.329,0.062,0.952,46.133,769.187,10.337,1928.437,34.844,26.014,4.115,0.051,0.031,0.165,0.001,0.024,0.011,0.086,0.004,0.392,0.038,0.558,0.069,0.134,0,0,0.001,0,46132970
Sri Lanka,1970,LKA,12388767,30146121728,0.16,3.593,26.64,0.059,1.112,49.726,795.826,10.395,1951.483,38.219,23.047,3.375,0.055,0.024,0.137,0.001,0.026,0.012,0.087,0.004,0.393,0.039,0.501,0.05,0.133,0,0,0.001,0,49726044
Sri Lanka,1971,LKA,12654656,29882785792,0.189,3.193,24.261,0.037,1.301,52.92,820.088,10.432,1972.551,41.187,21.068,2.968,0.062,0.021,0.121,0.001,0.029,0.012,0.088,0.003,0.394,0.039,0.459,0.041,0.132,0,0,0.001,0,52919508
Sri Lanka,1972,LKA,12914457,30521860096,0.189,3.538,23.177,0.004,1.49,56.457,843.265,10.435,1992.19,44.532,19.639,3.345,0.059,0.022,0.111,0,0.031,0.012,0.088,0.003,0.394,0.039,0.428,0.043,0.132,0,0.001,0.001,0,56457384
Sri Lanka,1973,LKA,13169738,31750252544,0.207,3.684,22.187,0.022,1.697,60.142,865.452,10.457,2010.693,47.987,18.503,3.455,0.061,0.022,0.103,0,0.032,0.013,0.088,0.003,0.394,0.039,0.416,0.042,0.131,0,0.001,0.001,0,60141680
Sri Lanka,1974,LKA,13418276,32792926208,0.232,2.929,19.674,0.022,1.929,63.071,885.126,10.479,2027.438,50.662,16.744,2.675,0.068,0.017,0.092,0,0.035,0.013,0.088,0.003,0.394,0.039,0.388,0.033,0.13,0,0.001,0.001,0,63070980
Sri Lanka,1975,LKA,13662872,33538555904,0.193,2.893,27.295,0.011,2.122,65.964,912.421,10.49,2051.84,53.352,24.402,2.689,0.057,0.017,0.127,0,0.036,0.013,0.089,0.003,0.395,0.039,0.558,0.033,0.13,0,0.001,0.001,0,65963964
Sri Lanka,1976,LKA,13910170,34528292864,0.208,2.799,30.609,0.011,2.33,68.763,943.03,10.501,2079.65,55.931,27.81,2.579,0.059,0.016,0.137,0,0.037,0.013,0.09,0.003,0.398,0.038,0.646,0.03,0.129,0,0.001,0.001,0,68762730
Sri Lanka,1977,LKA,14159059,36792483840,0.17,2.911,32.333,0.004,2.5,71.674,975.363,10.505,2109.072,58.668,29.422,2.737,0.046,0.016,0.141,0,0.038,0.013,0.091,0.003,0.4,0.038,0.668,0.031,0.129,0,0.001,0.001,0,71673770
Sri Lanka,1978,LKA,14414817,39092871168,0.274,3.436,20.29,0.029,2.774,75.109,995.653,10.534,2125.926,61.801,16.854,3.133,0.069,0.018,0.087,0,0.039,0.013,0.091,0.003,0.4,0.038,0.399,0.034,0.128,0,0.001,0.001,0,75109310
Sri Lanka,1979,LKA,14680394,41652559872,0.281,3.809,16.78,0.004,3.054,78.918,1012.432,10.538,2138.897,65.326,12.971,3.525,0.07,0.019,0.071,0,0.041,0.014,0.091,0.003,0.399,0.038,0.32,0.038,0.127,0,0.001,0.001,0,78918330
Sri Lanka,1980,LKA,14943644,43918266368,0.267,3.389,15.04,0.004,3.321,82.307,1027.472,10.542,2150.548,68.444,11.652,3.118,0.066,0.017,0.064,0,0.042,0.014,0.09,0.003,0.398,0.037,0.285,0.035,0.126,0,0.001,0.001,0,82306930
Sri Lanka,1981,LKA,15198920,46696931328,0.294,4.006,12.946,0.004,3.615,86.312,1040.418,10.545,2159.488,72.152,8.94,3.708,0.073,0.021,0.055,0,0.044,0.014,0.09,0.003,0.397,0.038,0.204,0.043,0.126,0,0.001,0.001,0,86312500
Sri Lanka,1982,LKA,15438754,49078292480,0.294,4.467,15.569,0.088,3.909,90.779,1055.987,10.633,2170.59,76.237,11.102,4.085,0.073,0.024,0.067,0.001,0.045,0.014,0.089,0.003,0.396,0.038,0.252,0.049,0.125,0,0.001,0.001,0,90779384
Sri Lanka,1983,LKA,15658448,51583627264,0.227,4.855,14.821,0.077,4.136,95.634,1070.808,10.71,2180.556,80.788,9.966,4.551,0.055,0.026,0.062,0.001,0.046,0.015,0.089,0.003,0.394,0.039,0.207,0.055,0.124,0,0.001,0.001,0,95634290
Sri Lanka,1984,LKA,15872577,54113816576,0.221,3.852,13.782,0.007,4.357,99.486,1084.589,10.718,2190.486,84.411,9.929,3.624,0.053,0.02,0.055,0,0.046,0.015,0.088,0.003,0.392,0.039,0.187,0.044,0.124,0,0.001,0.001,0,99486380
Sri Lanka,1985,LKA,16092339,56399376384,0.26,3.917,15.422,0.007,4.617,103.403,1100.011,10.725,2201.991,88.061,11.505,3.649,0.061,0.019,0.061,0,0.047,0.015,0.087,0.003,0.391,0.039,0.226,0.044,0.123,0,0.001,0.001,0,103402950
Sri Lanka,1986,LKA,16317998,59240607744,0.256,3.66,15.129,0.004,4.874,107.063,1115.14,10.729,2213.459,91.461,11.468,3.4,0.058,0.018,0.059,0,0.047,0.015,0.087,0.003,0.389,0.039,0.224,0.04,0.122,0,0.001,0.001,0,107063256
Sri Lanka,1987,LKA,16547143,59820584960,0.253,4.027,14.616,0,5.127,111.09,1129.755,10.729,2224.048,95.235,10.589,3.774,0.055,0.019,0.055,0,0.048,0.015,0.086,0.003,0.387,0.039,0.207,0.044,0.121,0,0.001,0.001,0,111090170
Sri Lanka,1988,LKA,16773736,61408886784,0.166,3.457,13.679,0,5.293,114.547,1143.435,10.729,2234.271,98.525,10.223,3.29,0.034,0.016,0.05,0,0.047,0.015,0.085,0.003,0.386,0.039,0.202,0.037,0.121,0,0.001,0.001,0,114546810
Sri Lanka,1989,LKA,16990582,63032209408,0.164,3.447,12.827,0.004,5.457,117.994,1156.261,10.732,2243.65,101.804,9.38,3.279,0.033,0.015,0.047,0,0.046,0.015,0.085,0.003,0.384,0.039,0.193,0.036,0.12,0,0.001,0.001,0,117993816
Sri Lanka,1990,LKA,17204098,67098669056,0.163,3.831,13.467,0.004,5.62,121.825,1169.729,10.736,2253.287,105.469,9.636,3.664,0.033,0.017,0.049,0,0.046,0.015,0.084,0.002,0.383,0.039,0.198,0.04,0.119,0,0.001,0.001,0,121824640
Sri Lanka,1991,LKA,17416596,74080436224,0.163,4.138,16.083,0.007,5.783,125.963,1185.812,10.743,2265.231,109.437,11.945,3.968,0.032,0.018,0.057,0,0.045,0.015,0.083,0.002,0.382,0.039,0.251,0.041,0.118,0,0.001,0.001,0,125962870
Sri Lanka,1992,LKA,17624462,71480508416,0.332,5.106,16.501,0.004,6.115,131.069,1202.313,10.747,2276.626,114.207,11.395,4.771,0.063,0.023,0.06,0,0.046,0.015,0.083,0.002,0.38,0.04,0.233,0.052,0.117,0,0.001,0.001,0,131069210
Sri Lanka,1993,LKA,17825610,76299010048,0.275,4.975,17.946,0.004,6.39,136.045,1220.259,10.75,2289.597,118.905,12.971,4.697,0.05,0.022,0.065,0,0.046,0.016,0.083,0.002,0.379,0.04,0.266,0.051,0.117,0,0.001,0.001,0,136044640
Sri Lanka,1994,LKA,18011746,81620721664,0.375,5.435,22.583,0.007,6.765,141.48,1242.842,10.758,2306.745,123.957,17.148,5.053,0.064,0.024,0.08,0,0.047,0.016,0.083,0.002,0.379,0.04,0.324,0.055,0.116,0,0.001,0.001,0,141479840
Sri Lanka,1995,LKA,18177570,85976457216,0.362,5.814,21.569,0.004,7.127,147.294,1264.411,10.761,2322.5,129.406,15.755,5.448,0.058,0.025,0.075,0,0.047,0.016,0.082,0.002,0.378,0.041,0.298,0.058,0.115,0,0.001,0.001,0,147294130
Sri Lanka,1996,LKA,18322504,95501516800,0.376,6.971,22.909,0.004,7.503,154.265,1287.32,10.765,2338.438,135.997,15.938,6.591,0.059,0.029,0.078,0,0.048,0.016,0.082,0.002,0.378,0.042,0.302,0.068,0.114,0,0.001,0.001,0,154264700
Sri Lanka,1997,LKA,18449120,1.04E+11,0.39,7.52,20.088,0.007,7.893,161.785,1307.408,10.772,2351.006,143.12,12.568,7.123,0.059,0.031,0.064,0,0.048,0.017,0.082,0.002,0.375,0.043,0.177,0.073,0.114,0,0.001,0.001,0,161785000
Sri Lanka,1998,LKA,18560806,1.01E+11,0.353,7.736,21.879,0.004,8.246,169.521,1329.287,10.776,2365.149,150.499,14.143,7.379,0.054,0.032,0.074,0,0.048,0.017,0.082,0.002,0.374,0.044,0.258,0.075,0.113,0,0.001,0.001,0,169520930
Sri Lanka,1999,LKA,18670408,1.03E+11,0.394,8.517,19.728,0.004,8.64,178.038,1349.015,10.78,2376.36,158.618,11.212,8.119,0.057,0.034,0.065,0,0.049,0.017,0.082,0.002,0.373,0.045,0.204,0.08,0.112,0,0.001,0.001,0,178037540
Sri Lanka,2000,LKA,18776374,1.10E+11,0.406,10.134,21.163,0.004,9.046,188.172,1370.178,10.783,2387.389,168.342,11.029,9.724,0.056,0.04,0.069,0,0.049,0.018,0.081,0.002,0.372,0.046,0.216,0.094,0.111,0,0.001,0.001,0,188171630
Sri Lanka,2001,LKA,18920278,1.07E+11,0.445,10.326,20.622,0.004,9.49,198.498,1390.8,10.787,2397.685,178.221,10.296,9.878,0.059,0.04,0.068,0,0.049,0.019,0.081,0.002,0.37,0.047,0.217,0.095,0.11,0,0.001,0.001,0,198498000
Sri Lanka,2002,LKA,19110706,1.09E+11,0.407,10.948,22.819,0.004,9.897,209.446,1413.62,10.791,2409.556,188.758,11.871,10.538,0.051,0.042,0.073,0,0.05,0.019,0.081,0.002,0.369,0.049,0.229,0.101,0.109,0,0.001,0.001,0,209446030
Sri Lanka,2003,LKA,19303182,1.15E+11,0.463,10.953,24.327,0.231,10.36,220.399,1437.946,11.022,2422.93,199.017,13.374,10.259,0.054,0.04,0.073,0.002,0.05,0.02,0.081,0.002,0.368,0.05,0.237,0.096,0.108,0,0.001,0.001,0,220399070
Sri Lanka,2004,LKA,19490434,1.20E+11,0.554,12.147,61.282,0.231,10.914,232.546,1499.228,11.252,2472.064,210.38,49.134,11.362,0.061,0.042,0.18,0.002,0.05,0.02,0.083,0.002,0.373,0.052,0.916,0.103,0.107,0,0.001,0.001,0,232546430
Sri Lanka,2005,LKA,19673866,1.27E+11,0.591,11.935,32.417,0.231,11.506,244.482,1531.645,11.483,2492.546,221.492,20.482,11.113,0.061,0.04,0.094,0.002,0.051,0.021,0.083,0.002,0.373,0.053,0.434,0.1,0.107,0,0.001,0.001,0,244481660
Sri Lanka,2006,LKA,19870706,1.36E+11,0.625,11.793,30.955,0.227,12.131,256.274,1562.6,11.71,2511.709,232.433,19.163,10.941,0.059,0.039,0.087,0.002,0.051,0.021,0.083,0.002,0.373,0.054,0.378,0.097,0.106,0,0.001,0.001,0,256274190
Sri Lanka,2007,LKA,20078652,1.45E+11,0.654,12.152,63.155,0.161,12.785,268.426,1625.755,11.872,2562.711,243.77,51.003,11.336,0.058,0.039,0.176,0.001,0.051,0.022,0.085,0.002,0.378,0.055,1.149,0.1,0.106,0,0.001,0.001,0,268426110
Sri Lanka,2008,LKA,20285640,1.52E+11,0.688,11.987,33.825,0.22,13.472,280.413,1659.58,12.092,2584.549,254.849,21.837,11.08,0.06,0.037,0.092,0.002,0.052,0.022,0.085,0.002,0.379,0.056,0.47,0.098,0.105,0,0.001,0.001,0,280413400
Sri Lanka,2009,LKA,20482484,1.57E+11,0.725,12.945,51.307,0.224,14.198,293.358,1710.886,12.315,2622.911,266.845,38.362,11.996,0.062,0.041,0.14,0.002,0.052,0.022,0.086,0.002,0.382,0.058,0.762,0.109,0.105,0,0.001,0.001,0,293358050
Sri Lanka,2010,LKA,20668556,1.68E+11,0.663,13.051,53.905,0.227,14.861,306.409,1764.791,12.542,2663.765,279.006,40.854,12.161,0.053,0.039,0.141,0.002,0.052,0.023,0.087,0.002,0.385,0.059,0.844,0.107,0.104,0.001,0.001,0.001,0,306409020
Sri Lanka,2011,LKA,20859746,1.82E+11,0.75,14.886,35.991,1.132,15.611,321.295,1800.782,13.674,2684.869,292.01,21.105,13.004,0.056,0.043,0.091,0.008,0.052,0.023,0.087,0.002,0.385,0.06,0.425,0.114,0.104,0.001,0.001,0.001,0,321295170
Sri Lanka,2012,LKA,21017150,1.98E+11,0.779,15.798,40.347,1.919,16.39,337.093,1841.129,15.594,2709.418,305.109,24.549,13.099,0.056,0.045,0.101,0.013,0.053,0.024,0.087,0.002,0.386,0.061,0.509,0.113,0.104,0.001,0.001,0.001,0,337093280
Sri Lanka,2013,LKA,21131762,2.05E+11,0.738,14.679,30.398,2.019,17.128,351.772,1871.526,17.613,2725.137,317.032,15.719,11.923,0.051,0.042,0.076,0.013,0.052,0.024,0.087,0.003,0.386,0.062,0.34,0.103,0.103,0.001,0.001,0.001,0,351772350
Sri Lanka,2014,LKA,21239448,2.15E+11,0.719,17.691,29.892,3.88,17.847,369.463,1901.418,21.493,2737.338,330.123,12.201,13.091,0.048,0.05,0.074,0.026,0.052,0.025,0.087,0.003,0.385,0.063,0.248,0.112,0.102,0.001,0.001,0.001,0,369463330
Sri Lanka,2015,LKA,21336692,2.26E+11,0.873,19.83,32.837,5.218,18.72,389.294,1934.256,26.71,2750.345,343.863,13.007,13.74,0.06,0.056,0.08,0.035,0.053,0.026,0.087,0.004,0.384,0.064,0.242,0.115,0.102,0.001,0.001,0.001,0,389293600
Sri Lanka,2016,LKA,21425494,2.37E+11,1.028,23.024,33.503,5.524,19.748,412.317,1967.758,32.235,2760.824,360.334,10.479,16.471,0.069,0.065,0.084,0.038,0.053,0.027,0.087,0.004,0.383,0.066,0.231,0.137,0.101,0.001,0.001,0.002,0,412317220
Sri Lanka,2017,LKA,21506816,2.45E+11,1.076,23.03,33.656,5.723,20.824,435.348,2001.415,37.958,2771.45,376.566,10.626,16.232,0.071,0.064,0.083,0.039,0.054,0.027,0.087,0.005,0.382,0.068,0.245,0.133,0.101,0.001,0.001,0.002,0,435347680
Sri Lanka,2018,LKA,21580712,2.53E+11,1.084,20.995,31.437,5.528,21.908,456.342,2032.851,43.486,2781.892,390.948,10.442,14.382,0.069,0.057,0.077,0.037,0.055,0.028,0.086,0.006,0.381,0.069,0.25,0.117,0.1,0.001,0.001,0.002,0,456342200
Sri Lanka,2019,LKA,21649664,,1.511,22.22,32.443,5.903,23.419,478.562,2065.294,49.389,2792.115,405.754,10.223,14.806,0.093,0.06,0.078,0.04,0.056,0.029,0.086,0.006,0.38,0.07,0.224,0.12,0.1,0.001,0.001,0.002,0,478562300
Sri Lanka,2020,LKA,21715076,,1.511,21.704,31.743,6.335,24.931,500.266,2097.037,55.724,2802.154,419.611,10.039,13.857,0.092,0.062,0.081,0.045,0.057,0.029,0.086,0.007,0.379,0.071,0.247,0.124,0.1,0.001,0.001,0.002,0,500266000
Sri Lanka,2021,LKA,21773438,,1.511,20.781,30.637,6.077,26.442,521.047,2127.674,61.801,2812.01,432.804,9.856,13.193,0.09,0.056,0.075,0.041,0.059,0.03,0.086,0.008,0.379,0.071,0.25,0.111,0.099,0.001,0.001,0.002,0,521046900
